Relative_Time_[ms],RAB_Width_1_[AU],RAB_Width_5_[AU],RAB_Width_10_[AU]
7096,668,678,676
7114,664,678,676
7134,665,678,677
7152,671,678,676
7171,672,678,676
7189,668,678,676
7208,665,678,675
7227,666,678,675
7245,670,678,675
7264,672,677,676
7283,670,677,676
7302,670,677,676
7320,668,677,675
7340,666,677,675
7358,670,677,675
7376,674,677,675
7395,673,677,676
7414,670,677,676
7433,666,677,676
7451,671,676,675
7471,675,676,676
7489,675,676,676
7507,671,676,676
7526,671,676,677
7545,670,676,677
7564,671,676,677
7582,673,676,677
7602,675,676,677
7620,673,676,677
7639,669,676,678
7657,669,676,678
7676,674,676,678
7695,677,676,678
7713,673,676,678
7733,670,676,678
7751,669,676,678
7770,671,676,679
7788,673,676,679
7808,672,677,679
7826,672,677,679
7844,670,677,679
7864,666,677,678
7882,669,677,678
7901,674,677,679
7919,673,677,679
7939,669,677,679
7957,665,677,679
7975,667,677,678
7994,671,677,678
8013,672,678,678
8032,668,678,678
8050,668,678,678
8070,667,678,678
8088,666,678,677
8107,668,678,677
8125,671,678,677
8144,669,678,677
8163,666,678,677
8181,663,678,677
8201,669,678,676
8219,672,678,676
8238,670,678,675
8256,667,678,675
8275,666,678,675
8294,667,678,675
8312,670,678,675
8332,672,677,675
8350,671,677,675
8369,670,677,675
8387,666,677,675
8407,667,677,675
8425,673,677,675
8443,675,677,675
8462,671,677,675
8481,668,677,675
8500,669,676,675
8518,673,676,675
8538,674,676,675
8556,673,676,676
8574,673,676,676
8593,671,676,676
8612,668,676,676
8631,671,676,676
8649,677,676,676
8669,675,676,677
8687,671,676,677
8706,667,676,678
8724,672,676,677
8743,676,676,677
8762,675,676,677
8780,671,676,678
8800,671,676,678
8818,669,676,678
8837,671,676,679
8855,673,676,679
8875,673,676,679
8893,671,676,678
8911,667,676,678
8930,665,677,679
8949,671,677,679
8968,675,677,679
8986,671,677,679
9006,667,677,679
9024,667,677,678
9042,669,677,679
9061,670,677,679
9080,670,678,679
9099,670,678,679
9117,668,678,678
9137,664,678,678
9155,666,678,677
9174,672,678,677
9192,671,678,677
9211,667,678,677
9230,664,678,677
9248,667,678,677
9268,670,678,676
9286,671,678,676
9305,668,678,676
9323,668,678,676
9342,667,678,676
9361,668,678,676
9379,670,678,675
9399,673,678,675
9417,671,678,675
9436,668,677,675
9454,665,677,675
9474,670,677,675
9492,675,677,675
9510,673,677,675
9529,670,677,675
9548,669,677,675
9567,670,677,675
9585,672,677,675
9605,675,677,675
9623,675,677,676
9641,672,676,675
9660,669,676,675
9679,669,676,675
9698,675,676,676
9716,677,676,677
9736,672,676,676
9754,669,676,677
9773,669,676,676
9791,674,676,677
9810,675,676,677
9829,673,676,677
9847,672,676,678
9867,670,676,678
9885,668,676,678
9904,671,676,678
9922,675,676,678
9942,673,676,678
9960,669,676,679
