Relative_Time_[ms],RAB_Width_5_[AU]
3,114
13,235
22,359
32,486
41,611
52,623
61,629
71,634
80,635
94,639
110,643
128,645
145,646
163,650
181,652
198,654
216,657
234,659
251,658
269,659
287,660
305,660
322,661
339,662
358,661
375,661
393,661
410,658
429,657
446,656
463,654
482,652
499,651
517,647
534,644
552,642
570,638
587,635
605,634
623,630
641,628
658,626
675,621
694,618
711,616
729,613
746,611
764,610
782,609
799,607
818,607
835,605
852,604
870,605
888,606
906,607
923,610
941,611
959,612
976,615
994,616
1011,619
1031,622
1049,625
1068,627
1087,632
1105,636
1124,639
1142,642
1162,645
1180,648
1199,650
1218,652
1236,655
1255,657
1273,658
1293,659
1311,661
1330,662
1349,663
1368,663
1386,663
1404,662
1424,662
1442,661
1461,661
1480,659
1499,656
1517,654
1536,652
1555,651
1573,648
1592,644
1610,641
1630,638
1648,635
1667,632
1686,630
1704,626
1723,622
1741,619
1761,617
1779,614
1798,612
1817,609
1836,608
1854,607
1872,606
1892,606
1910,605
1929,606
1948,607
1967,608
1985,610
2003,613
2023,614
2041,616
2060,620
2079,624
2098,627
2116,629
2135,633
2154,636
2172,639
2191,643
2209,646
2229,649
2247,651
2266,653
2285,656
2304,658
2322,659
2340,660
2360,661
2378,662
2397,663
2416,663
2435,663
2453,663
2471,662
2491,661
2509,660
2528,659
2547,656
2566,654
2584,652
2603,650
2622,648
2640,645
2659,641
2677,638
2697,635
2715,632
2734,629
2753,626
2771,622
2790,619
2808,617
2828,615
2846,613
2865,610
2884,608
2903,608
2921,607
2940,606
2959,607
2977,606
2996,607
3015,609
3034,611
3052,614
3070,616
3090,617
3108,620
3127,624
3146,627
3165,630
3183,633
3202,636
3221,639
3239,642
3258,646
3277,649
3296,651
3314,652
3333,655
3352,658
3371,659
3389,660
3408,661
3427,662
3445,662
3464,662
3483,662
3502,662
3520,661
3539,659
3558,659
3576,658
3595,656
3614,653
3633,651
3651,649
3670,647
3689,644
3707,641
3726,637
3744,634
3764,631
3782,628
3801,626
3820,622
3838,618
3857,616
3876,614
3895,612
3913,609
3932,608
3951,607
3970,606
3988,605
4007,606
4026,607
4044,607
4063,608
4082,610
4101,613
4119,615
