Relative_Time_[ms],RAB_Width_5_[AU]
4137,617
4157,619
4175,623
4194,627
4213,630
4232,633
4250,636
4269,639
4288,642
4306,646
4325,649
4344,651
4363,653
4381,655
4400,657
4419,659
4438,660
4456,661
4475,662
4494,662
4512,662
4531,663
4550,662
4569,661
4587,660
4606,659
4625,658
4643,657
4662,654
4681,651
4700,649
4718,647
4737,644
4756,641
4774,638
4793,634
4812,630
4831,628
4849,625
4868,622
4887,618
4905,616
4924,614
4943,612
4962,609
4980,608
4999,607
5018,606
5037,605
5055,606
5074,607
5093,607
5111,607
5130,610
5149,613
5168,615
5186,618
5204,620
5224,624
5242,627
5261,630
5280,634
5299,637
5317,639
5336,642
5355,646
5373,649
5392,652
5411,653
5430,655
5448,657
5467,659
5486,661
5505,661
5523,662
5542,662
5561,662
5579,663
5598,663
5617,662
5636,660
5654,659
5673,658
5692,657
5710,654
5729,652
5748,649
5767,647
5785,644
5804,641
5823,638
5841,634
5860,630
5879,627
5898,624
5916,622
5935,619
5954,615
5972,613
5991,611
6010,609
6029,607
6047,606
6066,605
6085,604
6104,605
6122,606
6141,607
6160,607
6178,610
6197,613
6216,616
6235,618
6253,621
6273,623
6291,627
6309,630
6328,634
6347,638
6366,640
6384,642
6403,645
6422,648
6440,651
6459,653
6478,655
6497,657
6515,659
6534,660
6553,661
6572,662
6590,662
6609,662
6628,662
6646,662
6665,662
6684,660
6703,658
6721,657
6740,656
6759,654
6777,652
6796,649
6815,646
6834,643
6852,640
6872,638
6890,635
6908,630
6927,627
6946,625
6965,622
6983,619
7002,616
7021,613
7040,611
7058,609
7077,607
7096,607
7114,605
7134,605
7152,605
7171,607
7189,608
7208,608
7227,609
7245,612
7264,615
7283,618
7302,621
7320,624
7340,627
7358,630
7376,634
7395,638
7414,641
7433,643
7451,645
7471,649
7489,652
7507,654
7526,656
7545,658
7564,659
7582,660
7602,662
7620,662
7639,663
7657,662
7676,662
7695,662
7713,662
7733,660
7751,658
7770,657
7788,656
7808,654
7826,652
7844,649
7863,646
7882,643
7901,640
7919,638
7939,635
7957,631
7975,627
7994,624
8013,621
8032,618
8050,616
8070,613
8088,610
8107,608
8125,607
8144,606
8163,606
8181,605
8201,605
8219,607
8238,608
8256,609
8275,610
8294,612
8312,615
8332,618
8350,621
8369,624
8387,627
8407,629
8425,633
8443,637
8462,641
8481,643
8500,645
8518,648
8538,651
8556,654
8574,656
8593,658
8612,659
8631,660
8649,661
8669,662
8687,663
8706,662
8724,662
8743,662
8762,662
8780,661
8800,659
8818,657
8837,655
8855,653
8875,651
8893,649
8911,646
8930,642
8949,639
8968,637
8986,634
9006,631
9024,627
9042,624
9061,621
9080,618
9099,615
9117,613
9137,610
9155,608
9174,606
9192,606
9211,606
9230,605
9248,605
9268,606
9286,608
9305,609
9323,610
9342,612
9361,615
9379,618
9399,621
9417,624
9436,627
9454,630
9474,633
9492,637
9510,641
9529,644
9548,646
9567,648
9585,651
9605,653
9623,656
9641,657
9660,659
9679,659
9698,661
9716,662
9736,663
9754,663
9773,662
9791,662
9810,661
9829,660
9847,658
9867,657
9885,655
9904,653
9922,651
9942,649
9960,646
9978,642
9997,638
10016,636
10036,633
10055,629
10076,627
10095,624
10115,619
10135,617
10155,615
10174,612
10193,610
10214,609
10233,607
10253,606
10273,606
10293,605
10312,605
10333,607
10352,609
10372,609
10391,613
10412,616
10431,618
10450,621
10471,626
10490,628
10510,631
10529,636
10550,638
10569,641
10589,645
10609,648
10629,650
10648,654
10669,656
10688,657
10707,659
10727,661
10747,660
10767,662
10786,663
10807,662
10826,662
10846,662
10866,660
10886,659
10905,659
10925,656
10945,654
10964,653
10984,650
11004,646
11024,644
11043,641
11063,637
11083,634
11103,631
11122,626
11143,624
11162,621
11182,617
11202,615
11222,613
11241,610
11261,608
11281,608
11300,606
11320,605
11340,605
11360,606
11379,606
11400,608
11419,611
11439,612
11459,615
11479,619
11498,621
11517,625
11538,629
11557,631
11577,635
11596,639
11617,642
11636,644
11656,649
11676,651
11696,653
11715,656
11736,658
11755,659
11774,661
11795,662
11814,662
11834,662
11853,663
11874,662
11893,661
11913,662
11933,660
11953,658
11972,657
11992,655
