Relative_Time_[ms],RAB_Width_30_[AU],RAB_Width_35_[AU]
8192,677,675
8210,677,675
8228,676,675
8246,676,675
8264,676,675
8282,676,676
8300,676,676
8317,676,676
8336,676,676
8353,676,676
8372,676,676
8389,676,677
8408,676,677
8425,676,678
8442,676,677
8461,676,677
8478,676,677
8496,676,678
8514,676,678
8531,676,678
8549,676,679
8567,676,679
8585,676,679
8602,676,678
8621,676,678
8638,677,679
8656,677,679
8674,677,679
8692,677,679
8710,677,679
8728,677,678
8745,677,679
8764,677,679
8781,678,679
8800,678,679
8817,678,678
8836,678,678
8853,678,677
8871,678,677
8889,678,677
8907,678,677
8925,678,677
8943,678,677
8961,678,676
8978,678,676
8996,678,676
9014,678,676
9031,678,676
9050,678,676
9067,678,675
9085,678,675
9103,678,675
9120,677,675
9139,677,675
9156,677,675
9174,677,675
9192,677,675
9209,677,675
9228,677,675
9246,677,675
9264,677,675
9282,677,675
9299,677,676
9318,676,675
9335,676,675
9354,676,675
9371,676,676
9390,676,677
9407,676,676
9425,676,677
9443,676,676
9461,676,677
9479,676,677
9496,676,677
9515,676,678
9532,676,678
9549,676,678
9568,676,678
9585,676,678
9604,676,678
9621,676,679
9638,676,679
9657,676,679
9674,676,679
9692,676,679
9710,677,678
9729,677,678
9746,677,679
9764,677,679
9782,677,679
9800,677,679
9818,677,678
9836,677,678
9853,677,678
9872,678,678
9889,678,678
9908,678,678
9925,678,678
9944,678,677
9961,678,677
9979,678,677
9997,678,677
10015,678,677
10033,678,676
10050,678,676
10068,678,676
10086,678,676
10104,678,676
10122,678,676
10140,677,676
10158,677,675
10175,677,675
10193,677,675
10211,677,675
10229,677,675
10247,677,676
10265,677,676
10283,677,675
10301,677,675
10318,677,675
10337,677,676
10355,676,676
10373,676,676
10391,676,676
10408,676,676
10427,676,676
10444,676,676
10463,676,677
10481,676,677
10499,676,677
10517,676,677
10534,676,677
10552,676,678
10570,676,678
10588,676,678
10606,676,679
10624,676,679
10641,676,679
10659,676,679
10677,677,679
10695,677,679
10713,677,679
10730,677,679
10748,677,679
10767,677,679
10784,677,679
10803,677,679
10821,677,679
10839,678,679
10857,678,679
10874,678,679
10893,678,679
10910,678,678
10929,678,679
10946,678,678
10964,678,678
10983,678,678
11000,678,677
11019,678,677
11036,678,677
11054,679,677
11072,678,677
11089,678,677
11107,678,676
11125,678,676
11143,678,676
11161,678,676
11179,678,676
11197,678,676
11214,678,676
11232,678,675
11250,678,675
11268,678,675
11286,678,675
11303,677,676
11322,677,676
11340,677,675
11358,677,675
11376,677,675
11394,677,676
11412,677,676
11429,677,676
11448,677,676
11465,677,676
11484,676,676
11502,676,676
11520,676,677
11538,676,677
11555,676,677
11573,676,677
11591,676,677
11609,676,677
11627,676,678
11644,676,678
11663,676,679
11680,676,679
11698,676,679
11716,676,678
11734,676,678
11752,677,678
11769,677,679
11787,677,679
11805,677,679
11824,677,679
11841,677,679
11859,677,678
11877,677,679
11895,677,679
11913,677,679
11931,678,678
11950,678,678
11967,678,678
11985,678,678
