Relative_Time_[ms],RAB_Width_1_[AU]
4887,610
4905,607
4924,613
4943,611
4962,606
4980,603
4999,604
5018,605
5037,608
5055,608
5074,609
5093,609
5111,607
5130,615
5149,622
5168,623
5186,622
5204,623
5224,630
5242,637
5261,640
5280,640
5299,642
5317,643
5336,648
5355,653
5373,658
5392,657
5411,654
5430,656
5448,662
5467,665
5486,665
5505,660
5523,660
5542,663
5561,664
5579,665
5598,663
5617,658
5636,654
5654,655
5673,658
5692,657
5710,649
5729,643
5748,643
5767,643
5785,642
5804,635
5823,632
5841,627
5860,621
5879,622
5898,623
5916,618
5935,612
5954,607
5972,608
5991,612
6010,607
6029,603
6047,604
6066,603
6085,607
6104,608
6122,610
6141,610
6160,609
6178,611
6197,620
6216,625
6235,624
6253,624
6273,627
6291,634
6309,640
6328,642
6347,644
6366,645
6384,645
6403,651
6422,657
6440,659
6459,656
6478,654
6497,660
6515,664
6534,665
6553,662
6572,661
6590,661
6609,662
6628,663
6646,664
6665,660
6684,654
6703,653
6721,655
6740,657
6759,652
6777,644
6796,641
6815,641
6834,639
6852,637
6872,633
6890,629
6908,622
6927,618
6946,623
6965,619
6983,613
7002,608
7021,607
7040,609
7058,609
7077,605
7096,606
7114,604
7134,603
7152,608
7171,611
7189,612
7208,611
7227,610
7245,618
7264,626
7283,626
7302,625
7320,629
7340,632
7358,638
7376,642
7395,646
7414,647
7433,645
7451,648
7471,656
7489,661
7507,659
7526,656
7545,658
7564,663
7582,664
7602,665
7620,663
7639,661
7657,661
7676,662
7695,665
7713,663
7733,657
7751,651
7770,654
7788,655
7808,653
7826,646
7844,642
7863,638
7882,636
7901,636
7919,634
7939,629
7957,623
7975,616
7994,619
8013,620
8032,614
8050,609
8070,608
8088,606
8107,609
8125,606
8144,606
8163,606
8181,603
8201,605
8219,613
8238,614
8256,612
8275,611
8294,615
8312,623
8332,628
8350,627
8369,629
8387,632
8407,635
8425,640
8443,648
8462,649
8481,648
8500,646
8518,654
8538,660
8556,661
8574,658
8593,658
8612,661
8631,663
8649,664
8669,665
8687,663
8706,659
8724,660
8743,663
8762,665
8780,659
8800,652
8818,650
8837,653
8855,652
8875,647
8893,643
8911,639
8930,634
8949,633
8968,635
8986,631
9006,624
9024,617
9042,615
9061,619
9080,616
9099,609
9117,608
9137,606
9155,604
9174,607
9192,607
9211,606
9230,604
9248,601
9268,610
9286,615
9305,614
9323,612
9342,616
9361,620
9379,627
9399,629
9417,631
9436,633
9454,634
9474,638
9492,646
9510,652
9529,650
9548,647
9567,651
9585,658
9605,661
9623,661
9641,659
9660,659
9679,662
9698,663
9716,666
9736,665
9754,660
9773,658
9791,661
9810,663
9829,661
9847,654
9867,651
9885,650
9904,650
9922,649
9942,645
9960,640
9978,635
9997,630
10016,632
10036,626
10055,623
10076,624
10095,615
10115,613
10135,616
10155,607
10174,607
10193,610
10214,603
10233,605
10253,607
10273,605
10293,606
10312,609
10333,613
10352,611
10372,614
10391,623
10412,618
10431,623
10450,634
10471,630
10490,634
10510,645
10529,640
10550,644
10569,653
10589,650
10609,652
10629,659
10648,659
10669,657
10688,661
10707,664
10727,660
10747,662
10767,667
10786,661
10807,661
10826,666
10846,658
10866,657
10886,662
10905,654
10925,652
10945,653
10964,648
10984,642
11004,641
11024,639
11043,632
11063,630
11083,632
11103,621
11122,620
11143,623
11162,610
11182,612
11202,614
11222,603
11241,607
11261,607
11281,606
11300,605
11320,606
11340,610
11360,607
11379,609
11400,618
11419,612
11439,618
11459,627
11479,621
11498,627
11517,636
11538,633
11557,639
11577,646
11596,644
11617,647
11636,653
11656,655
11676,653
11696,658
11715,662
11736,658
11755,662
11774,666
11795,660
11814,662
11834,667
11853,660
11874,660
11893,664
11913,658
11933,656
11953,657
11972,653
11992,648
