Relative_Time_[ms],RAB_Width_1_[AU]
3,568
13,606
22,625
32,627
41,627
52,634
61,639
71,638
80,640
94,643
110,648
128,645
145,652
163,657
181,656
198,659
216,662
234,658
251,660
269,663
287,660
305,662
322,666
339,661
358,660
375,662
393,655
410,654
429,658
446,651
463,651
482,654
499,643
517,641
534,643
552,632
570,633
587,635
605,625
623,626
641,627
658,615
675,614
694,615
711,608
729,609
746,612
764,605
782,606
799,607
818,600
835,603
852,608
870,604
888,609
906,615
923,609
941,614
959,620
976,614
994,622
1011,630
1031,632
1049,631
1068,631
1087,638
1105,645
1124,649
1142,647
1162,649
1180,651
1199,655
1218,658
1236,663
1255,662
1273,659
1293,658
1311,664
1330,667
1349,665
1368,660
1386,659
1404,662
1424,662
1442,662
1461,658
1480,654
1499,649
1517,648
1536,651
1555,649
1573,642
1592,635
1610,633
1630,634
1648,634
1667,626
1686,622
1704,619
1723,614
1741,614
1761,615
1779,612
1798,608
1817,603
1836,605
1854,610
1872,607
1892,604
1910,605
1929,607
1948,612
1967,613
1985,616
2003,618
2023,618
2041,618
2060,629
2079,634
2098,634
2116,633
2135,636
2154,643
2172,649
2191,651
2209,652
2229,652
2247,654
2266,657
2285,662
2304,665
2322,661
2340,658
2360,662
2378,666
2397,668
2416,662
2435,660
2453,660
2471,661
2491,660
2509,660
2528,656
2547,651
2566,645
2584,649
2603,651
2622,645
2640,637
2659,633
2677,630
2697,631
2715,628
2734,624
2753,620
2771,615
2790,611
2808,616
2828,613
2846,609
2865,604
2884,603
2903,609
2921,609
2940,606
2959,607
2977,608
2996,609
3015,614
3034,617
3052,620
3070,620
3090,619
3108,626
3127,636
3146,636
3165,635
3183,637
3202,641
3221,647
3239,651
3258,653
3277,654
3296,653
3314,655
3333,660
3352,665
3371,664
3389,659
3408,660
3427,664
3445,665
3464,665
3483,661
3502,659
3520,658
3539,658
3558,660
3576,658
3595,652
3614,645
3633,645
3651,648
3670,646
3689,638
3707,633
3726,630
3744,627
3764,628
3782,624
3801,621
3820,616
3838,609
3857,611
3876,614
3895,610
3913,605
3932,603
3951,604
3970,610
3988,606
4007,607
4026,609
4044,608
4063,611
4082,618
4101,621
4119,621
4137,620
4157,622
4175,633
4194,638
4213,637
4232,638
4250,641
4269,644
4288,649
4306,654
4325,656
4344,655
4363,653
4381,658
4400,663
4419,666
4438,662
4456,659
4475,662
4494,664
4512,665
4531,663
4550,661
4569,657
4587,656
4606,658
4625,660
4643,654
4662,648
4681,642
4700,645
4718,645
4737,640
4756,634
4774,631
4793,626
4812,625
4831,625
4849,622
4868,617
