Relative_Time_[ms],RAB_Width_1_[AU],RAB_Width_5_[AU],RAB_Width_10_[AU]
2060,669,665,666
2079,671,666,667
2098,667,666,667
2116,665,666,667
2135,665,667,667
2154,669,667,669
2172,671,668,669
2191,670,668,668
2209,670,669,668
2229,668,669,670
2247,666,668,669
2266,669,669,668
2285,674,669,669
2304,672,670,670
2322,668,669,670
2340,666,669,668
2360,669,669,669
2378,673,670,670
2397,672,669,670
2416,669,670,669
2435,669,670,669
2453,667,669,670
2472,669,669,670
2491,671,669,668
2509,672,670,669
2528,670,670,670
2547,666,669,670
2566,665,668,668
2584,671,669,668
2603,673,669,669
2622,669,669,669
2640,666,668,667
2659,666,668,667
2678,667,667,668
2697,669,667,668
2715,669,667,666
2734,669,668,666
2753,667,667,667
2771,663,666,667
2790,665,666,665
2808,670,667,665
2828,670,667,667
2846,666,666,667
2865,663,666,665
2884,665,666,665
2903,669,666,667
2921,669,666,667
2940,666,666,665
2959,666,666,666
2977,664,666,667
2996,665,665,666
3015,668,666,665
3034,670,666,666
3052,668,667,667
3070,665,666,667
3090,663,666,666
3108,668,667,666
3127,672,667,668
3146,669,667,668
3165,667,667,667
3183,667,668,667
3202,667,667,669
3221,669,668,669
3239,672,668,668
3258,672,669,668
3277,670,669,670
3296,666,669,670
3314,667,668,669
3333,673,669,669
3352,675,670,671
3371,671,670,671
3389,668,670,669
3408,668,670,670
3427,672,670,671
3445,673,670,671
3464,671,670,670
3483,671,671,670
3502,669,670,671
3520,668,670,671
3539,671,670,669
3558,675,671,669
3576,672,671,671
3595,669,670,670
3614,666,669,669
3633,669,669,669
3651,672,670,669
3670,671,669,669
3689,668,669,668
3707,668,669,667
3726,666,668,668
3745,666,667,668
3764,669,668,666
3782,671,668,666
3801,668,668,668
3820,664,667,667
3838,662,666,666
3857,668,667,666
3876,671,667,667
3895,668,667,667
3913,665,667,665
3932,665,667,666
3951,667,666,667
3970,668,666,667
3988,668,666,666
4007,668,667,666
4026,666,666,667
4044,663,666,667
4063,666,666,666
4082,671,667,666
4101,670,667,667
4119,667,667,668
4137,665,667,666
4157,665,667,667
4175,671,667,669
4194,672,667,669
4213,669,668,668
4232,669,668,668
4250,667,668,670
4269,667,668,670
4288,670,669,669
4306,674,670,669
4325,672,670,671
4344,669,670,670
4363,666,670,669
4381,671,670,670
4400,675,671,671
4419,673,671,671
4438,670,671,670
4456,669,671,670
4475,670,671,671
4494,672,670,671
4512,673,671,670
4531,672,671,670
4550,670,671,671
4569,667,670,671
4587,668,670,669
4606,673,670,669
4625,674,670,670
4643,669,670,669
4662,665,669,667
4681,665,668,667
4700,668,668,668
4718,670,667,667
4738,668,667,666
4756,668,668,666
4774,666,667,667
4793,663,666,667
4812,666,666,665
4831,670,667,665
4849,669,667,667
4868,665,666,667
4887,662,666,665
4905,665,666,665
4924,669,666,666
4943,669,666,666
4962,666,666,665
4980,665,666,665
4999,664,666,667
5018,666,666,667
5037,669,666,665
5055,669,667,666
5074,667,667,667
5093,664,666,667
5111,664,666,666
5130,669,667,666
5149,672,667,668
5168,668,667,668
5186,666,667,667
5206,666,667,667
5224,669,667,669
5242,670,668,669
5261,671,669,668
5280,671,670,668
5299,669,669,670
5317,666,669,670
5336,668,669,669
5355,674,670,669
5373,674,670,671
5392,670,670,671
5411,667,670,670
5430,669,670,671
5448,673,671,671
5467,674,671,671
5486,672,671,670
5505,671,672,670
5523,669,671,672
5542,670,671,672
5561,673,671,670
5579,675,671,670
5598,673,672,672
5617,669,671,672
5636,667,670,670
5654,672,671,670
5673,675,671,671
5692,672,671,671
5710,669,671,670
5729,669,671,669
5748,669,670,670
5767,670,670,670
5785,672,670,669
5804,672,670,668
5823,670,670,670
5841,666,669,669
5860,666,668,667
5879,671,668,668
5898,672,668,669
5916,668,668,668
5936,665,668,667
5954,665,667,667
5972,668,667,668
5991,670,667,668
6010,669,667,666
6029,668,668,667
6047,666,668,668
6067,664,667,668
6085,668,667,666
6104,672,668,667
6122,670,668,668
6141,666,667,668
6160,664,667,667
6178,668,667,667
6197,672,668,669
6216,671,668,669
6235,668,669,668
6253,668,669,668
6273,667,668,670
6291,669,668,670
6309,672,669,669
6328,673,670,669
6347,672,670,671
6366,668,669,671
6384,667,669,670
6403,672,670,670
6422,676,671,672
6440,673,671,672
6459,670,671,671
6478,670,671,671
6497,671,671,672
6515,673,671,672
6534,674,672,671
6553,673,672,671
6572,671,672,672
6590,668,671,672
6609,671,671,671
6628,676,672,671
6646,675,672,672
6666,671,672,672
6684,668,671,671
6703,670,671,671
6721,673,671,672
6740,675,671,671
6759,671,671,670
6777,670,671,670
6797,668,671,671
6815,669,670,670
6834,671,670,669
6852,674,671,669
6872,671,670,670
6890,668,669,669
6908,664,668,668
6927,669,669,668
6946,673,669,669
6965,671,669,669
6983,666,669,667
7002,667,668,667
7021,666,668,668
7040,668,668,668
7058,670,668,667
7077,670,668,667
7096,668,668,668
7114,664,667,668
7134,665,667,667
7152,671,668,667
7171,672,668,668
7189,668,668,668
7208,665,667,667
7227,666,667,668
7245,670,668,669
7264,672,668,669
7283,670,668,668
7302,670,669,668
7320,668,669,670
7340,666,668,670
7358,670,669,669
7376,674,670,669
7395,673,670,671
7414,670,670,671
7433,666,670,670
7451,671,670,670
7471,675,671,672
7489,675,671,672
7507,671,671,671
7526,671,672,671
7545,670,671,672
7564,671,671,672
7582,673,671,671
7602,675,672,671
7620,673,672,672
7639,669,672,672
7657,669,671,671
7676,674,672,671
7695,677,672,673
7713,673,672,672
7733,670,672,671
7751,669,672,671
7770,671,671,672
7788,673,671,671
7808,672,671,670
7826,672,672,670
7844,670,671,671
7864,666,670,671
7882,669,670,669
7901,674,671,669
7919,673,671,670
7939,669,670,670
7957,665,669,668
7975,667,669,668
7994,671,669,669
8013,672,669,669
8032,668,669,667
8050,668,669,667
8070,667,668,668
8088,666,667,668
8107,668,667,667
8125,671,668,667
8144,669,668,668
8163,666,668,668
8181,663,667,667
8201,669,668,667
8219,672,668,668
8238,670,668,668
8256,667,668,667
8275,666,668,667
8294,667,668,669
8312,670,668,669
8332,672,669,668
8350,671,669,668
8369,670,669,670
8387,666,669,670
8407,667,669,669
8425,673,670,669
8443,675,670,671
8462,671,670,671
8481,668,670,670
8500,669,670,670
8518,673,671,672
8538,674,671,672
8556,673,671,671
8574,673,672,671
8593,671,672,673
8612,668,671,672
8631,671,671,671
8649,677,672,671
8669,675,672,672
8687,671,672,672
8706,667,672,671
8724,672,672,671
8743,676,672,673
8762,675,672,672
8780,671,672,671
8800,671,672,671
8818,669,671,672
8837,671,671,672
8855,673,671,670
8875,673,672,670
8893,671,671,671
8911,667,670,670
8930,665,669,669
8949,671,670,669
8968,675,670,670
8986,671,670,670
9006,667,670,668
9024,667,669,668
9042,669,669,669
9061,670,669,669
9080,670,668,667
9099,670,669,667
9117,668,668,669
9137,664,667,668
9155,666,667,667
9174,672,668,667
9192,671,668,668
9211,667,668,668
9230,664,667,667
9248,667,668,667
9268,670,668,669
9286,671,668,668
9305,668,668,667
9323,668,669,668
9342,667,668,669
9361,668,668,669
9379,670,668,668
9399,673,669,668
9417,671,669,670
9436,668,669,670
9454,665,668,669
9474,670,669,669
9492,675,670,671
9510,673,670,671
9529,670,671,670
9548,669,671,670
9567,670,671,672
9585,672,671,672
9605,675,671,671
9623,675,672,671
9641,672,672,672
9660,669,671,673
9679,669,671,671
9698,675,672,671
9716,677,672,672
9736,672,672,673
9754,669,672,671
9773,669,672,671
9791,674,672,673
9810,675,672,673
9829,673,672,671
9847,672,672,671
9867,670,672,672
9885,668,671,672
9904,671,671,670
9922,675,671,670
9942,673,671,671
9960,669,670,671
9978,666,670,669
9998,669,669,669
10016,673,670,670
10036,665,669,669
10055,670,669,668
10076,673,670,669
10095,664,669,668
10115,669,668,668
10135,671,668,669
10155,665,669,667
10174,668,668,669
10193,670,667,667
10214,668,668,667
10233,666,668,668
10253,669,667,667
10273,670,668,668
10293,665,668,668
10312,669,667,667
10333,671,668,669
10352,663,668,668
10372,670,667,668
10391,672,668,669
10412,664,669,668
10431,670,668,669
10450,673,668,669
10471,668,669,668
10490,670,669,670
10510,672,669,670
10529,670,670,669
10550,670,669,671
10569,673,669,670
10589,672,671,671
10609,668,671,672
10629,673,670,670
10648,675,672,672
10669,667,672,672
10688,674,671,671
10707,675,672,672
10727,668,672,671
10747,673,671,672
10767,675,672,672
10786,670,672,671
10807,672,671,673
10826,674,671,672
10846,672,672,671
10866,670,671,672
10886,673,671,671
10905,673,672,671
10925,669,671,671
10945,673,670,670
10964,673,672,671
10984,666,671,670
