Relative_Time_[ms],RAB_Width_1_[AU],RAB_Width_5_[AU],RAB_Width_10_[AU]
3,618,124,613
13,645,253,642
22,658,384,652
32,658,516,657
41,656,648,659
52,659,655,660
61,664,658,660
71,663,660,661
80,662,661,663
94,662,662,663
110,666,664,664
128,661,665,664
145,665,664,664
163,669,665,665
181,665,666,666
198,667,666,667
216,670,667,667
234,663,667,667
251,665,666,667
269,670,666,666
287,665,667,666
305,667,666,666
322,672,667,667
339,667,668,668
358,668,668,668
375,671,667,668
393,664,668,667
411,665,666,666
429,671,666,666
446,665,667,666
463,668,666,667
482,671,666,667
499,665,667,667
517,665,666,666
534,668,665,665
552,662,666,665
570,665,665,665
587,669,665,665
605,663,666,665
623,666,665,665
641,668,665,665
658,661,666,665
675,662,664,664
694,667,663,663
711,661,664,663
729,665,663,663
747,669,664,664
764,662,665,664
782,664,664,664
799,667,664,664
818,660,664,663
835,662,663,663
852,667,663,663
870,663,664,663
888,664,663,664
906,668,664,664
923,663,665,665
942,663,664,664
959,667,663,664
976,661,664,663
994,665,663,664
1011,669,664,664
1031,668,665,666
1049,664,664,666
1068,662,664,665
1087,666,665,665
1105,669,666,667
1124,670,666,667
1142,667,667,666
1162,667,667,666
1180,665,667,668
1199,666,666,668
1218,670,667,667
1236,671,668,667
1255,669,668,668
1273,666,667,668
1293,664,667,667
1311,670,668,667
1330,673,668,669
1349,669,668,668
1368,666,668,667
1386,666,668,668
1404,669,668,669
1424,670,668,668
1442,670,668,667
1461,669,669,667
1480,667,668,669
1499,664,667,668
1517,666,667,667
1536,671,668,666
1555,670,668,668
1573,666,667,667
1592,663,666,666
1610,664,666,666
1630,668,666,667
1648,669,666,666
1667,666,666,665
1686,666,666,665
1704,664,666,666
1723,663,665,665
1741,666,665,664
1761,669,665,664
1779,667,665,665
1798,663,665,665
1817,660,664,664
1836,665,665,664
1854,669,665,665
1873,666,664,665
1892,664,665,664
1910,664,665,664
1929,664,665,665
1948,666,665,665
1967,668,665,664
1985,667,666,664
2003,666,665,666
2023,663,664,666
2041,663,664,665
